Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension,Dataset_Distribution,trial,vectorization,sample_size,min_cluster_size_ratio,min_cluster_size,min_samples,min_samples_ratio,tfidf_weight,pca_components,clustering_mode
Combined,30553,231,17844,58.403430105063336,55.01731601731602,0.5401484266904704,32,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",61,tfidf,300,0.04,12,12,1.0,,32,combined
Combined,46737,11,44546,95.31206538716648,199.1818181818182,0.24443311989307404,32,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",62,dense,500,0.04,20,10,0.5,,32,combined
Combined,12093,29,8216,67.9401306540974,133.68965517241378,0.3095490313118325,16,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",63,hybrid,100,0.1,10,10,1.0,0.7,16,combined
Combined,30553,215,15248,49.906719471083036,71.18604651162791,0.4737182753261945,32,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",64,tfidf,300,0.05,15,7,0.5,,32,combined
Combined,46737,5,45283,96.88897447418533,290.8,0.2991393506526947,48,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",65,dense,500,0.06,30,30,1.0,,48,combined
Combined,46737,19,44621,95.47253781800286,111.36842105263158,0.19573795795440674,48,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",66,dense,500,0.03,15,7,0.5,,48,combined
Combined,30553,76,13444,44.00222564068994,225.1184210526316,0.33405218797121283,32,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",67,hybrid,300,0.1,30,15,0.5,0.9,32,combined
Combined,21736,562,12689,58.37780640412219,16.097864768683273,0.5211199731241606,48,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",68,tfidf,200,0.02,5,5,1.0,,48,combined
Combined,30553,46,28312,92.66520472621347,48.71739130434783,0.12504656612873077,32,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",69,dense,300,0.03,9,4,0.5,,32,combined
Combined,46737,114,28059,60.03594582450735,163.8421052631579,0.5155417697754192,16,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",70,tfidf,500,0.06,30,15,0.5,,16,combined
